iter	Passed	Remaining
743	951	327
744	952	326
745	953	324
746	954	323
747	956	322
748	957	320
749	958	319
750	959	318
751	959	316
752	960	315
753	962	313
754	963	312
755	964	311
756	965	309
757	966	308
758	967	307
759	967	305
760	968	304
761	970	303
762	971	301
763	973	300
764	973	299
765	974	297
766	976	296
767	977	295
768	978	293
769	979	292
770	980	291
771	980	289
772	981	288
773	983	287
774	984	285
775	986	284
776	987	283
777	988	282
778	989	280
779	990	279
780	992	278
781	993	276
782	994	275
783	995	274
784	996	272
785	997	271
786	999	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	264
792	1007	263
793	1009	261
794	1010	260
795	1011	259
796	1012	257
797	1014	256
798	1015	255
799	1016	254
800	1017	252
801	1018	251
802	1019	250
803	1021	249
804	1022	247
805	1023	246
806	1025	245
807	1026	243
808	1027	242
809	1029	241
810	1030	240
811	1031	238
812	1032	237
813	1034	236
814	1035	235
815	1036	233
816	1037	232
817	1039	231
818	1040	229
819	1041	228
820	1042	227
821	1044	226
822	1045	224
823	1046	223
824	1047	222
825	1048	220
826	1049	219
827	1050	218
828	1051	216
829	1052	215
830	1053	214
831	1054	213
832	1055	211
833	1056	210
834	1058	209
835	1059	207
836	1060	206
837	1061	205
838	1062	203
839	1063	202
840	1064	201
841	1066	200
842	1067	198
843	1068	197
844	1068	196
845	1069	194
846	1070	193
847	1071	192
848	1073	190
849	1074	189
850	1075	188
851	1076	186
852	1077	185
853	1077	184
854	1078	182
855	1080	181
856	1081	180
857	1081	179
858	1082	177
859	1083	176
860	1084	175
861	1085	173
862	1085	172
863	1086	171
864	1088	169
865	1089	168
866	1090	167
867	1091	165
868	1092	164
869	1093	163
870	1094	162
871	1095	160
872	1096	159
873	1097	158
874	1098	156
875	1099	155
876	1099	154
877	1100	152
878	1101	151
879	1102	150
880	1104	149
881	1104	147
882	1106	146
883	1107	145
884	1107	143
885	1109	142
886	1110	141
887	1111	140
888	1112	138
889	1113	137
890	1113	136
891	1114	134
892	1115	133
893	1116	132
894	1117	131
895	1118	129
896	1119	128
897	1120	127
898	1121	125
899	1122	124
900	1123	123
901	1123	122
902	1125	120
903	1126	119
904	1127	118
905	1128	117
906	1129	115
907	1130	114
908	1131	113
909	1132	111
910	1133	110
911	1134	109
912	1135	108
913	1136	106
914	1137	105
915	1138	104
916	1139	103
917	1140	101
918	1141	100
919	1142	99
920	1143	98
921	1144	96
922	1145	95
923	1145	94
924	1146	92
925	1147	91
926	1148	90
927	1149	89
928	1150	87
929	1151	86
930	1152	85
931	1152	84
932	1153	82
933	1154	81
934	1155	80
935	1156	79
936	1157	77
937	1158	76
938	1158	75
939	1159	74
940	1160	72
941	1161	71
942	1162	70
943	1163	69
944	1165	67
945	1166	66
946	1167	65
947	1168	64
948	1169	62
949	1170	61
950	1171	60
951	1172	59
952	1173	57
953	1173	56
954	1174	55
955	1175	54
956	1176	52
957	1177	51
958	1178	50
959	1180	49
960	1180	47
961	1181	46
962	1182	45
963	1183	44
964	1184	42
965	1185	41
966	1186	40
967	1187	39
968	1188	38
969	1189	36
970	1190	35
971	1191	34
972	1191	33
973	1193	31
974	1194	30
975	1195	29
976	1196	28
977	1197	26
978	1198	25
979	1199	24
980	1200	23
981	1201	22
982	1202	20
983	1202	19
984	1203	18
985	1204	17
986	1205	15
987	1206	14
988	1207	13
989	1208	12
990	1209	10
991	1210	9
992	1211	8
993	1211	7
994	1212	6
995	1213	4
996	1215	3
997	1215	2
998	1216	1
999	1217	0
